id,cuisine
18009,southern_us
28583,southern_us
41580,filipino
29752,cajun_creole
35687,italian
38527,southern_us
19666,italian
41217,chinese
28753,russian
22659,southern_us
21749,thai
44967,indian
42969,indian
44883,italian
20827,southern_us
23196,french
35387,greek
33780,greek
19001,mexican
16526,japanese
42455,korean
47453,mexican
42478,french
11885,italian
16585,southern_us
29639,italian
26245,italian
38516,korean
47520,italian
26212,mexican
23696,mexican
14926,thai
13292,mexican
27346,chinese
1384,japanese
15959,mexican
42297,russian
46235,indian
21181,southern_us
9809,cajun_creole
22982,cajun_creole
23120,japanese
26743,french
12741,southern_us
7050,italian
22437,mexican
14760,italian
10649,korean
48065,french
39931,chinese
32935,french
40142,irish
19103,indian
38267,italian
30512,italian
3324,italian
26197,french
384,japanese
47230,chinese
39748,mexican
41038,spanish
24878,indian
42624,mexican
45706,korean
8874,mexican
23878,cajun_creole
47234,mexican
24075,italian
46323,italian
22562,italian
11358,british
9201,japanese
38620,chinese
47638,italian
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,british
20798,chinese
24381,chinese
48178,mexican
45832,italian
27560,chinese
23247,greek
28975,indian
43230,spanish
9126,greek
13021,cajun_creole
28194,korean
25617,indian
36125,italian
16454,mexican
1607,chinese
38526,korean
18755,southern_us
12035,italian
16047,italian
15419,italian
16971,indian
31459,southern_us
27888,irish
13900,italian
12376,southern_us
1658,korean
29431,thai
22290,southern_us
28464,italian
37953,chinese
20814,mexican
35987,mexican
2329,italian
43237,mexican
30647,southern_us
16675,russian
37722,italian
32438,southern_us
20287,mexican
43296,indian
6237,italian
48560,korean
20810,mexican
34951,french
31850,italian
47745,british
37815,chinese
9872,italian
5592,italian
27411,italian
39320,french
40247,italian
19792,mexican
40754,italian
14365,mexican
14468,italian
47563,mexican
19611,italian
7163,mexican
43069,mexican
27505,chinese
36500,moroccan
25932,filipino
817,italian
8471,french
48250,southern_us
9413,filipino
12097,cajun_creole
8416,filipino
5892,italian
676,thai
47015,chinese
21891,italian
14630,italian
36195,japanese
25981,mexican
39964,italian
28298,indian
31954,french
26620,italian
14932,southern_us
47426,southern_us
1038,southern_us
8077,southern_us
37141,southern_us
45447,spanish
9624,mexican
45589,southern_us
7265,mexican
31844,british
13046,mexican
9867,british
29184,irish
34783,italian
2823,brazilian
18932,cajun_creole
11112,mexican
12859,thai
9365,italian
44516,mexican
18193,mexican
46545,irish
9900,italian
14815,spanish
39690,italian
22193,greek
11739,southern_us
27311,mexican
36920,indian
7861,mexican
29248,mexican
43142,mexican
7574,mexican
8610,mexican
989,thai
46926,mexican
40816,mexican
39726,mexican
42229,southern_us
10474,italian
22140,mexican
31985,chinese
46165,japanese
20860,italian
42494,italian
15968,italian
20484,italian
26661,italian
47182,mexican
22528,french
3861,indian
1203,spanish
45040,italian
33287,indian
10097,indian
42005,mexican
12423,spanish
39613,mexican
30276,chinese
18686,japanese
3031,filipino
40093,italian
182,jamaican
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,thai
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,korean
11735,french
27935,italian
28198,mexican
37765,indian
33856,italian
30198,italian
42521,french
21567,italian
36995,french
24967,thai
45002,southern_us
48925,thai
36914,mexican
2280,southern_us
14729,mexican
4594,greek
2237,mexican
45631,japanese
2317,korean
23079,mexican
29333,japanese
48066,mexican
15737,italian
30580,mexican
1119,french
46336,mexican
5026,mexican
10749,italian
31020,british
30805,italian
27653,italian
35060,italian
39174,mexican
49509,italian
31784,british
31408,southern_us
36029,mexican
11045,spanish
6561,mexican
26992,brazilian
31179,greek
35099,mexican
11018,chinese
17930,mexican
21302,italian
46352,thai
25132,mexican
7010,mexican
25850,southern_us
19601,japanese
7935,italian
34994,indian
25113,italian
45523,italian
34977,greek
7124,french
27514,greek
27178,mexican
47880,korean
29197,filipino
16347,mexican
20333,indian
29112,korean
